Year,Canada,Mexico,US,Total North America,Argentina,Brazil,Chile,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Central America,Other Caribbean,Other South America,Total S. & Cent. America,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Other Europe,Total Europe,Azerbaijan,Belarus,Kazakhstan,Russian Federation,Turkmenistan,Uzbekistan,Other CIS,Total CIS,Iran,Iraq,Israel,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,Algeria,Egypt,Morocco,South Africa,Eastern Africa,Middle Africa,Western Africa,Other Northern Africa,Other Southern Africa,Total Africa,Australia,Bangladesh,China,China Hong Kong SAR,India,Indonesia,Japan,Malaysia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Other Asia Pacific,Total Asia Pacific,Total World,OECD,Non-OECD,European Union
2003,588.2696299697212,224.90308351325578,4137.978841606171,4951.151555089148,92.0594430232558,364.384638,48.787,52.11305277213689,11.546131783838998,22.9234,6.437902,90.0603,32.147562505500005,73.28487417726213,67.523214661486,861.2675189234797,60.13277483997502,84.63,42.6,13.2521,4.0520000000000005,83.226141,46.17945833333333,10.158,84.32600000000001,566.838,608.8030942701685,58.471000000000004,34.145,8.49341934,25.239542299999997,293.884765,3.975,19.488,3.621422,98.140305,6.738,107.32900000000001,151.631,46.852000000000004,55.14,31.178,13.821,260.72700000000003,135.435,67.18492078681552,140.5805,180.36,398.20912310146946,65.96867502126346,3810.8102409930248,21.286,26.627,63.8663626,916.2860000000001,10.92,48.7139,41.998000000000005,1129.6972626000002,151.645,26.605591,47.0476,39.802,10.714,12.012,166.58758916524172,49.45,70.2954,574.1591801652417,29.528000000000002,92.1865,16.52,234.229,51.30434938071449,14.045087045898436,37.63224132654696,30.32279168421053,3.2862,509.05416943737026,225.9524,19.7129,1910.575,35.50611111111111,638.1310101807262,112.9754,1092.595,83.3,40.85524472867674,76.986,52.940537000000006,35.2815,347.756209,8.12485,209.07242394000002,115.93462,40.925000000000004,52.35743567436362,5098.981641634879,16935.121568843122,10256.558785496225,6678.562783346918,2838.182602743477
2004,598.509646967121,235.39655602165058,4231.682747347144,5065.588950335916,100.26082099999996,387.4924157120141,49.743068636000004,53.83857431898831,12.584844248350999,24.267,6.430579,96.8695,33.97399020744062,71.2215951794843,65.29520312584238,901.9775914281205,64.10708199999999,84.21030000000032,41.621,13.989700000000001,4.2010000000000005,84.333903,40.43985,10.302,85.845,574.054,617.5353013075438,59.345781,33.708,8.620090124,25.59760674,303.347006,4.689,19.274,4.132149999999999,102.144798,6.667,110.647,154.159,45.105000000000004,56.499,30.567,15.272,280.007,152.454,65.39224348750665,150.6983,182.165,393.9297583155788,70.54048532036836,3895.6003552949983,21.744,31.211000000000002,66.9423699,931.9,11.98,49.677600000000005,43.496,1156.9509699,162.755,30.696344,48.4711,41.256,11.499,13.233,173.40466164636763,52.417,74.3756,608.1077056463675,31.249000000000002,98.2523193222548,17.5715,244.60500000000002,55.1668843535431,15.817133994140626,42.700774856011726,32.308586684210525,3.1115000000000004,540.7826992101608,229.21705,24.684900000000003,2203.31,37.12861111111111,698.300975,120.15060000000001,1121.193,96.06,42.76838184267279,82.3055,55.95743,36.809599999999996,368.03355200000004,8.74352,218.396668814,124.13266,46.209,54.504917609707064,5567.906366377491,17736.914638193048,10506.839149411508,7230.075488781548,2909.1564780475446
2005,620.479798247672,247.97075103170997,4322.786632227311,5191.237181506694,105.750115,403.0827830439113,51.89866535384131,55.89710848302268,13.404022567387997,25.509700000000002,7.058743000000001,104.36079,35.82041905444445,73.87068960599603,66.65982189574815,943.3128580043517,66.83274237743935,85.67690000000032,44.365,13.1615,4.377,82.578571,36.24135,10.201,70.58200000000001,576.062,622.5168855077484,60.020138,35.756,8.681113926999998,25.983228139359994,303.6999,4.906,14.7843,4.129123,100.76871000000001,6.942,138.005,156.936,46.575,59.413000000000004,31.455000000000002,15.117,294.077,159.06,59.48184635832004,161.9562,186.055,398.361132705616,73.66825292564009,3958.4258939411247,22.872,30.961000000000002,67.9197296,954.1,12.819,47.6272,44.284200000000006,1180.5831296000001,177.077,28.343179,49.833400000000005,43.734,12.648,14.396,191.05495591246506,60.698,80.6906,658.475134912465,33.915,104.94731541218638,19.723200000000002,244.922,58.28742731346644,16.5326560234375,43.167360453805344,35.42238168421052,3.5085,560.4258408871061,230.73954999999998,26.450400000000002,2500.2599999999998,38.44833333333334,704.5093181999999,127.5608,1153.0620000000001,98.75,42.98083624517688,88.76422141529586,56.56774,38.2127,389.479512,8.84822,227.512267056,130.42631,52.078,56.96829805695958,5971.618506306764,18464.078545158507,10743.831839048662,7720.246706109842,2927.5153480245476
2006,608.4283100313834,256.22496048275775,4330.9516407387755,5195.604911252916,113.423565,419.44914720930234,54.80155065701374,59.06591451969429,15.115849674445,27.3698,7.17109,110.64354,37.94995356444445,75.95379574755417,67.56736336756178,988.5115697400157,64.375271148,84.58720000000031,45.843,13.047,4.652,84.359019,45.602291666666666,9.729000000000001,82.312,574.869,639.5096487738614,60.789713000000006,35.859,9.924843022000001,27.504400279358762,314.121963,4.891,12.4819,4.333512,98.834621,7.006,121.538,161.742,49.041000000000004,62.696,31.418,15.115,299.454,143.3,63.86112174375332,176.2998,193.381,397.282323570934,74.96612745250467,4014.7267556570796,24.543,31.811,71.66846050000001,992.1000000000001,13.65,49.374,43.491,1226.6374605000003,193.43,30.591112000000003,51.8112,47.607,13.585,15.325000000000001,196.3114419188385,62.438,86.76440000000001,697.8631539188384,35.227000000000004,111.66104985337243,20.451,253.798,60.35038250774206,18.839637,44.56044904772324,37.909439842105265,3.3525800000000006,586.1495382509429,237.99095000000003,29.538,2865.726,38.612500000000004,744.4262523150684,133.11020000000002,1164.348,103.994,43.53799378036397,96.7200128853283,56.78413,39.4804,402.988942,9.4979,235.53014227800003,136.76671,57.917,60.229693140000016,6457.19882639876,19166.69221571855,10831.982034859006,8334.71018085955,2972.728539867888
2007,634.1848104611481,263.249536043933,4431.837021165222,5329.271367670303,113.52504191999999,445.14892568056297,58.3059717331907,60.520302011991134,17.336655151753998,29.943,7.676285,113.69732,39.96680331444444,76.27682490004345,71.86421730687171,1034.2613470188585,64.75748856800027,88.10290000000033,43.297000000000004,12.7077,4.871,88.19909600000001,39.315469444444446,12.188,81.245,569.768,640.6438590124789,63.496842,39.96,11.975738967000002,28.738121968306388,313.887349,4.771,14.007,4.001358000000001,105.164161,6.498,137.16400000000002,159.348,47.253,61.673,28.056,15.043000000000001,305.052,148.742,67.7299303561935,191.55812940900003,196.251,396.82994977026857,71.52212912551663,4063.8172226212096,21.847,31.829,76.6209469,1018.7000000000002,14.88,49.0329,44.1278,1257.0376469000003,203.131,32.347414,55.1071,48.753,14.443,19.462,204.4337426951941,78.761,91.8922,748.3304566951941,37.31,119.86698044965787,20.313,263.479,64.06687653401563,18.89048690234375,43.45633002168496,40.06823484210526,3.2406800000000002,610.6915887498075,243.1848,31.0156,3281.5530000000003,38.94777777777777,796.2651750000002,142.44102,1180.109,108.539,43.89349657224825,99.3809963798631,59.611788000000004,41.1341,425.407289,9.90056,243.11660794300002,142.53754,64.147,64.14139275949057,7015.3261434323795,20058.735773087752,11071.84616492787,8986.889608159883,2986.5843449932304
2008,635.1004482231485,269.29974799321764,4390.106116983962,5294.506313200328,121.90524828000001,463.1715771906199,59.71478161000001,61.37364043252378,18.608525816211,32.4631,7.731534,119.31733,40.88347901888889,73.16429969396327,73.6847859295577,1072.0183019717645,66.72518634566,84.39960000000032,45.037,12.8905,5.079,83.645492,36.616147222222224,10.579,77.432,573.807112,640.8170507943927,63.74988,40.025,16.467751844000002,30.262417845389166,319.130538,5.274,14.01,3.557091,108.20277800000001,6.311,142.108,155.3054,45.969,64.956,28.962,16.398,313.758,149.65,68.74175225943647,198.42,192.586,388.9180979407209,77.57719795321638,4087.3679932050386,21.642,35.054,80.3477922,1040.0,15.0,50.1784,39.728100000000005,1281.9502922,210.48000000000002,35.305087,55.8315,51.749,16.048000000000002,21.616,204.20060900000001,80.46300000000001,97.97359999999999,773.666796,40.237,128.79240990550667,20.990600000000004,258.291,65.02222335052143,20.45930303515625,43.48796587058409,43.124029842105266,3.1337,623.5382320038736,245.37090000000003,34.2361,3495.7599999999998,37.99027777777778,828.4135525,149.43653999999998,1183.72,113.82300000000001,43.92571616664815,93.1883585365183,60.820985,41.670597,442.610958,10.00328,238.305389297,145.43735999999998,70.96000000000001,67.2488415590101,7302.921855836954,20435.969784417954,11079.458993550208,9356.510790867742,2998.550193207665
2009,613.8776750517055,267.75358299198064,4206.493360590433,5088.1246186341195,122.32601491554225,466.1581230211982,59.70077909,63.183012130050784,18.264615252905998,32.9447,7.842939,124.84439,41.61190378111111,72.6614071003401,73.5406011900197,1083.0784854811682,69.08750913780004,91.18330000000033,42.964,13.449661,5.215,82.185712,36.384475,8.777000000000001,72.069,535.925197,595.8024936764639,61.340348,35.908,16.835361662,28.35156571054795,292.639678,5.569,15.357600000000001,3.878379,113.502778,6.828,131.773,151.72,50.207,58.016,26.155,16.403,296.30188802842883,136.681,68.26479532163744,194.812934,173.619,376.75380240151355,80.37343111284423,3894.334909051236,18.869,30.405,78.72913190000001,993.1000000000001,16.0,50.0631,39.0694,1226.2356319,221.80700000000002,41.293343,55.3072,53.218,18.4453,24.158,217.306609,85.69800000000001,101.16790000000002,818.4013520000002,43.112,134.2672326490714,21.6553,249.55700000000002,68.72858646213152,21.493287878906248,42.60991562479299,45.71982484210526,2.964118,630.1072654570072,249.90195000000003,37.207485,3714.6510000000003,38.76777777777777,879.7072499999999,156.79722,1114.003,116.114,43.5462072341957,98.8277565747034,61.934432,41.80183050885524,452.44746100000003,9.98688,230.037178028,145.90669999999997,80.643,65.93634878555235,7538.217476909085,20278.499739432627,10649.395156137865,9629.104583294747,2847.2425845532407
2010,607.0118484563803,275.56740244267615,4394.250984818358,5276.830235717414,125.99205328189998,515.7986875907544,61.332643,64.66284077533707,19.509853832412002,35.908,8.485408,116.7162,42.97484785333334,73.88763705592763,75.23519888435486,1140.5033702740195,71.14679860536444,94.58150000000035,46.653,14.90256,5.322,85.903,38.86278888888889,12.962,80.674,569.288113,632.6624913698952,57.404917000000005,37.371,17.059093363000002,28.68856654600732,302.0622,6.627,5.748600000000001,4.591276,118.13888899999999,7.26,123.663,157.65800000000002,54.093,60.979,27.858,16.44,300.4309460528766,148.255,68.00486177565125,211.21013,188.828,382.0682499709226,87.20831155970228,4064.606293132309,18.709500000000002,34.89,82.6464953,1038.0327,16.7,51.935,41.069,1283.9826953000002,235.681,41.702884,58.486000000000004,57.083,19.8187,28.144000000000002,248.77351000000002,93.949,108.9611385,892.5992325,45.735,144.43171977842945,23.683400000000002,259.601,74.02158617263896,22.5487191015625,50.822130468938056,49.02461984210527,2.830902,672.6990773636738,250.96169999999995,40.839991000000005,4207.16,38.33266666666667,937.4680375000002,169.78624,1156.023,125.045,44.99372329406035,99.38471900684017,67.742759,45.36916456619006,495.0283630419549,10.80074,247.058871012,157.57502111200006,91.72200000000001,73.10084782722464,8258.392844026937,21589.613748314347,11071.355260734706,10518.25848757965,2981.418326463033
2011,638.2813280492533,292.14324190038127,4363.377155204782,5293.801725154417,129.48330815,531.7582282911961,65.22276124000001,66.15454613690152,20.544142533206,38.8065,8.772408,122.89773,44.37130103175423,74.26471902870713,78.93397100738478,1181.2096154191495,65.85511369180439,90.5879000000003,50.797000000000004,11.372169,4.929,87.477,35.22922777777778,12.892,73.501,565.6065401834202,612.9173988528877,59.43657100000001,36.019,17.210413408,27.47822434957498,302.5699,6.094,4.8216,3.7162930000000003,112.965935,6.759,127.652,163.548,52.465,62.216,28.656000000000002,16.059,291.7586963790894,151.163,64.82462679425838,229.39792153846153,194.9468,367.98182107032085,81.59332373482191,4020.4974757804184,20.2938,32.203,86.5855045,1054.8575,17.2,52.772,44.5952,1308.5070045,235.588,42.221572,59.276700000000005,57.489000000000004,21.870900000000002,30.731,259.15266,99.137,103.99228299999999,909.4591150000001,51.224000000000004,149.56286705767351,25.3556,262.538,78.63697641984758,23.0547939609375,52.74730246,42.59041484210526,2.892014,688.601968740564,256.30415,44.217375999999994,4713.019,39.07338888888889,1034.011325,183.41872999999998,1104.183,127.069,44.6272992834937,100.6214228828661,69.17564999999999,46.00433400754391,518.1678157583103,11.599870000000001,252.167026568,153.31550677399989,101.499,77.37996919668244,8875.853864359784,22277.930768954324,11025.453569507607,11252.477199446725,2932.310469234555
2012,636.5491305887398,296.3959538482279,4310.569202193057,5243.514286630025,136.03362497514996,552.498346209194,69.74142329000001,67.71409307427427,22.84795784014,41.036,9.132408,127.85427,46.11729898075003,76.09333664223037,82.32366438002944,1231.3924233917678,72.72160329222058,83.04440000000028,47.329,10.754956,4.7170000000000005,87.418,30.701933333333336,11.966000000000001,70.411,565.2242843824372,628.9241783524312,60.959086000000006,34.635,17.548908358000002,27.604832101848107,299.27590000000004,6.167,5.0424,3.816973,102.505526,6.2620000000000005,147.828,162.139,46.613,59.047000000000004,28.664,15.736,297.55692891361343,166.302,70.0224066985646,239.50105778714433,198.8777,363.87299689914937,79.34395845146952,4052.534029570212,22.9881,30.794,90.61389420000002,1069.2893,17.8,52.9641,45.959,1330.4083942,248.756,47.76809,62.96549999999999,61.119,25.017303000000002,34.788000000000004,281.62719,106.22200000000001,105.5123,973.775383,57.397,162.83109221244706,27.6585,257.919,81.76151200667569,23.792963207031246,55.345930271954686,52.43078739509733,3.4743129999999995,722.6110980932061,250.6716,48.659169000000006,4987.553,38.79666666666667,1091.8378825,200.34014,1106.8799405099999,134.077,44.24731786828622,99.46126082736107,72.922011,46.94423186765177,531.2018659366054,11.897620000000002,250.373423492,168.956182883,115.147,78.69543508428768,9278.661747635855,22832.897362521064,11033.312776462037,11799.58458605903,2931.5706623758842
